latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m (°C),weather_code (wmo code),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snow_depth (m),snowfall (cm)
2025-06-30T21:00,21.0,0,44,8.2,19.5,0.00,0.00,NaN,0.00
2025-06-30T22:00,19.7,0,50,8.9,18.0,0.00,0.00,NaN,0.00
2025-06-30T23:00,18.4,0,61,10.8,17.2,0.00,0.00,NaN,0.00
2025-07-01T00:00,17.6,0,67,11.5,16.7,0.00,0.00,NaN,0.00
2025-07-01T01:00,15.7,0,73,10.8,14.6,0.00,0.00,NaN,0.00
2025-07-01T02:00,15.1,0,76,10.9,14.0,0.00,0.00,NaN,0.00
2025-07-01T03:00,14.7,0,78,10.9,13.7,0.00,0.00,NaN,0.00
2025-07-01T04:00,15.1,0,76,10.9,14.1,0.00,0.00,NaN,0.00
2025-07-01T05:00,16.6,0,69,10.8,15.8,0.00,0.00,NaN,0.00
2025-07-01T06:00,19.0,0,58,10.4,18.2,0.00,0.00,NaN,0.00
2025-07-01T07:00,21.7,0,47,10.0,20.9,0.00,0.00,NaN,0.00
2025-07-01T08:00,24.5,0,37,8.7,23.3,0.00,0.00,NaN,0.00
2025-07-01T09:00,26.6,0,28,6.9,25.8,0.00,0.00,NaN,0.00
2025-07-01T10:00,28.3,0,24,6.0,28.1,0.00,0.00,NaN,0.00
2025-07-01T11:00,29.7,0,22,5.4,29.8,0.00,0.00,NaN,0.00
2025-07-01T12:00,30.8,0,20,4.9,30.8,0.00,0.00,NaN,0.00
2025-07-01T13:00,32.1,0,18,4.6,31.8,0.00,0.00,NaN,0.00
2025-07-01T14:00,32.7,0,17,4.5,31.9,0.00,0.00,NaN,0.00
2025-07-01T15:00,32.9,0,17,4.7,31.1,0.00,0.00,NaN,0.00
2025-07-01T16:00,32.6,0,18,5.4,30.1,0.00,0.00,NaN,0.00
2025-07-01T17:00,31.8,0,20,6.0,29.2,0.00,0.00,NaN,0.00
2025-07-01T18:00,30.4,0,23,6.9,27.7,0.00,0.00,NaN,0.00
2025-07-01T19:00,28.4,0,26,7.2,26.0,0.00,0.00,NaN,0.00
2025-07-01T20:00,26.9,0,30,7.6,24.8,0.00,0.00,NaN,0.00
2025-07-01T21:00,25.7,0,34,8.8,23.9,0.00,0.00,NaN,0.00
2025-07-01T22:00,24.6,0,39,9.6,23.1,0.00,0.00,NaN,0.00
2025-07-01T23:00,23.6,0,41,9.7,22.1,0.00,0.00,NaN,0.00

time,temperature_2m_max (°C),temperature_2m_mean (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
2025-06-17,26.0,20.6,13.5,20.3,2025-06-17T02:42,2025-06-17T19:32,10.2,29.2
2025-06-18,27.3,22.3,16.4,21.5,2025-06-18T02:42,2025-06-18T19:32,18.8,46.8
2025-06-19,22.3,18.8,15.3,16.1,2025-06-19T02:42,2025-06-19T19:32,21.9,52.2
2025-06-20,23.6,18.3,11.2,16.7,2025-06-20T02:42,2025-06-20T19:33,9.8,29.2
2025-06-21,28.7,22.4,12.6,20.8,2025-06-21T02:43,2025-06-21T19:33,9.0,27.7
2025-06-22,34.1,27.5,17.4,25.5,2025-06-22T02:43,2025-06-22T19:33,14.7,35.3
2025-06-23,26.6,22.1,15.8,19.9,2025-06-23T02:43,2025-06-23T19:33,29.6,82.4
2025-06-24,22.6,18.1,14.2,15.4,2025-06-24T02:43,2025-06-24T19:33,27.3,60.8
2025-06-25,24.4,20.3,17.1,19.7,2025-06-25T02:44,2025-06-25T19:33,23.7,55.8
2025-06-26,30.6,21.6,14.5,21.9,2025-06-26T02:44,2025-06-26T19:33,19.1,48.6
2025-06-27,22.0,18.8,16.0,17.6,2025-06-27T02:45,2025-06-27T19:33,23.1,55.4
2025-06-28,28.1,21.8,14.3,21.7,2025-06-28T02:46,2025-06-28T19:33,19.2,44.6
2025-06-29,28.4,23.4,17.5,22.9,2025-06-29T02:46,2025-06-29T19:33,22.4,56.5
2025-06-30,26.7,20.7,13.6,19.0,2025-06-30T02:47,2025-06-30T19:32,11.2,31.7
2025-07-01,32.9,24.9,14.7,23.6,2025-07-01T02:48,2025-07-01T19:32,13.0,30.6
